category_type,supergroup,display_order,category_id,label,short_label,central_problem,description,strong_patterns,patterns,negative_patterns,taxonomy_version
primary,representation_understanding,11,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,"Recover, model, recognize, synthesize, or animate human bodies, faces, heads, hands, garments, or avatars using human-specific structure.","Human body/face/head/hand pose and shape, facial analysis, gesture, garment and clothing capture, digital humans, avatars, human-object interaction reconstruction, and human-specific generative or rendering models.",3d human; human body; human pose; body pose; face model; facial model; 3d face; hand pose; 3d hand; neural avatar; human avatar; digital human; gesture recognition; garment reconstruction; clothing capture; virtual try-on; virtual try on; smpl; morphable face model; morphable body model; talking head,human; person; body; face; facial; head; hand; gesture; avatar; garment; clothing; cloth; skeleton; pose estimation; body model; digital wardrobe; gaze,robot arm; robot hand; human-computer interaction without human modeling,0.3
primary,representation_understanding,12,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,"Estimate, represent, reconstruct, predict, or generate temporal change, trajectories, deformation, tracking, or dynamic 3D/4D content.","Object/camera/body tracking, scene flow, motion estimation and synthesis, temporal correspondence, dynamic or non-rigid reconstruction, 4D representations, deformation, and time-varying scenes or shapes.",4d reconstruction; 4d scene; 4d segmentation; dynamic scene; dynamic reconstruction; dynamic 3d; scene flow; 3d tracking; object tracking; camera tracking; motion capture; motion tracking; motion synthesis; motion generation; non-rigid motion; nonrigid motion; non-rigid reconstruction; nonrigid reconstruction; temporal reconstruction,tracking; motion; dynamic; 4d; temporal; scene flow; trajectory; non-rigid; nonrigid; deformation; deformable; moving object; mocap; animation,static human pose; gesture recognition; visual odometry,0.3
primary,synthesis_interaction,13,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,"Produce images, views, lighting, texture, or appearance from a 3D scene representation or estimate appearance properties for rendering.","Neural and image-based rendering, novel-view synthesis, radiance fields and Gaussian splatting when image synthesis is central, relighting, texture mapping, reflectance/material/illumination modeling, inverse rendering, and appearance editing.",neural rendering; novel view synthesis; novel-view synthesis; view synthesis; image-based rendering; image based rendering; inverse rendering; relighting; appearance modeling; appearance modelling; reflectance estimation; material estimation; radiance field; light field; surface light field; neural radiance field; nerf; gaussian splatting rendering,rendering; renderer; render; novel view; relighting; appearance; reflectance; material; radiance; light field; view interpolation; image formation; texture mapping; illumination,3d generation as central task; shape generation; object detection,0.3
primary,synthesis_interaction,14,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,"Create, complete, synthesize, assemble, inpaint, or edit 3D objects, scenes, layouts, or temporally coherent 3D content.","Generative 3D models, text/image-conditioned 3D creation, shape/scene/point completion, scene synthesis, controllable generation, assembly, inpainting, geometry enhancement, and 3D editing.",3d generation; shape generation; scene generation; text-to-3d; text to 3d; shape completion; point cloud completion; scene completion; 3d completion; shape editing; scene editing; 3d editing; generative model; shape synthesis; component assembly; 3d synthesis; content creation; layout generation,generation; generative; completion; editing; synthesis; inpainting; assembly; diffusion; gan; vae; autoencoder; content creation; enhancement,novel view synthesis only; rendering only; semantic scene completion,0.3
primary,synthesis_interaction,15,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,"Use 3D perception and modeling to choose or execute actions in the physical world through navigation, manipulation, grasping, embodied agents, or active perception.","Robot perception and modeling, manipulation and grasping, navigation, embodied agents, action and trajectory generation, active perception, physical interaction, and real-to-sim/sim-to-real 3D systems.",robot perception; robot modeling; robot modelling; robot manipulation; robot grasping; robot navigation; embodied vision; embodied ai; active perception; active agent; sim-to-real; sim to real; real-to-sim; real to sim; robot body; robot articulation; image goal navigation; semantic navigation,robot; robotic; robotics; manipulation; grasp; embodied; navigation; action; active vision; physical interaction; articulation; kinematic; control,human grasp; human interaction without an embodied agent; virtual reality,0.3
primary,resources_applications,16,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,"Create data, annotations, benchmarks, metrics, protocols, or systematic evaluations that enable or assess 3D-vision research.","Datasets, benchmarks, challenges, annotation resources, evaluation protocols and metrics, auditing studies, surveys, leaderboards, and reproducibility infrastructure; primary only when the resource or evaluation is the paper’s main contribution.",3d dataset; dataset; benchmark; benchmarking; challenge; evaluation protocol; evaluation metric; annotation dataset; data collection; database; survey; leaderboard; evaluation framework; auditing toolkit,dataset; benchmark; evaluation; metric; challenge; annotation; database; survey; protocol; ground truth; reproducibility; audit,benchmark performance; evaluation on; we evaluate,0.3
primary,resources_applications,17,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,"Deliver interactive or user-facing 3D experiences and end-to-end applied systems in AR/VR/XR, HCI, telepresence, visualization, or fabrication.","Augmented, virtual, and mixed reality; spatial computing; human-computer interaction; telepresence; interactive visualization; 3D displays; 3D printing/fabrication; and application-led systems whose central contribution is the end-to-end experience rather than another core 3D task.",augmented reality; virtual reality; mixed reality; extended reality; spatial computing; human-computer interaction; human computer interaction; telepresence; tele-immersion; tele immersion; 3d printing; digital fabrication; interactive system; applied 3d system; prototype system; immersive visualization,ar/vr; xr; interaction; interactive; hci; application system; visualization system; visualisation system; 3d display; rapid prototyping; fabrication; teleoperation; immersive,robot interaction; object interaction; interaction field,0.3
method_tag,,1,classical_geometry_optimization,Classical Geometry & Optimization,Classical Geometry & Optimization,,,,optimization; optimisation; energy minimization; bundle adjustment; graph cut; markov random field; mrf; ransac; icp; variational; geometric prior,,0.3
method_tag,,2,deep_learning,Deep Learning,Deep Learning,,,,deep learning; neural network; convolutional; cnn; learned; end-to-end; end to end,,0.3
method_tag,,3,transformers_attention,Transformers & Attention,Transformers & Attention,,,,transformer; attention; self-attention; cross-attention,,0.3
method_tag,,4,point_clouds,Point Clouds,Point Clouds,,,,point cloud; point-cloud; point set; point-based,,0.3
method_tag,,5,rgbd_depth,RGB-D & Depth,RGB-D & Depth,,,,rgb-d; rgbd; depth map; depth image; depth sensor,,0.3
method_tag,,6,multiview_stereo,Multi-view & Stereo,Multi-view & Stereo,,,,multi-view; multiview; stereo; structure from motion; sfm; mvs,,0.3
method_tag,,7,voxels_volumes,Voxels & Volumes,Voxels & Volumes,,,,voxel; volumetric; volume,,0.3
method_tag,,8,meshes,Meshes,Meshes,,,,mesh; meshing; triangular surface,,0.3
method_tag,,9,implicit_sdf_occupancy,"Implicit, SDF & Occupancy","Implicit, SDF & Occupancy",,,,implicit representation; implicit surface; signed distance; sdf; occupancy network; occupancy field; level set,,0.3
method_tag,,10,neural_fields_nerf,Neural Fields & NeRF,Neural Fields & NeRF,,,,neural field; radiance field; nerf; neural implicit,,0.3
method_tag,,11,gaussian_splatting,Gaussian Splatting,Gaussian Splatting,,,,gaussian splatting; 3d gaussian; gaussian field; gaussian primitive; gaussian avatar; gaussian scene; gaussian representation,,0.3
method_tag,,12,diffusion_generative,Diffusion & Generative Models,Diffusion & Generative Models,,,,diffusion; generative adversarial; gan; variational autoencoder; vae; generative model; score-based,,0.3
method_tag,,13,foundation_language_multimodal,"Foundation, Language & Multimodal","Foundation, Language & Multimodal",,,,foundation model; vision-language; language model; multimodal; multi-modal; open vocabulary; open-vocabulary; clip; large language model; llm; vision language model; vision-language model; 3d language model; spatial intelligence,,0.3
method_tag,,14,self_weak_unsupervised,Self/Weak/Unsupervised Learning,Self/Weak/Unsupervised Learning,,,,self-supervised; self supervised; unsupervised; weakly supervised; weak supervision; semi-supervised; contrastive learning,,0.3
domain_tag,,1,objects_shapes,Objects & Shapes,Objects & Shapes,,,,object; shape; cad; category-level; category level,,0.3
domain_tag,,2,indoor_scenes,Indoor Scenes,Indoor Scenes,,,,indoor; room; building interior; scannet; matterport,,0.3
domain_tag,,3,outdoor_urban_autonomous,"Outdoor, Urban & Autonomous","Outdoor, Urban & Autonomous",,,,outdoor; urban; street; city; autonomous driving; vehicle; kitti; driving scene,,0.3
domain_tag,,4,humans_faces_hands,"Humans, Faces & Hands","Humans, Faces & Hands",,,,human; person; body; face; facial; hand; avatar; garment; clothed,,0.3
domain_tag,,5,robotics_embodied,Robotics & Embodied,Robotics & Embodied,,,,robot; robotic; manipulation; grasp; navigation; embodied,,0.3
domain_tag,,6,medical_biological,Medical & Biological,Medical & Biological,,,,medical; clinical; surgical; organ; tumor; tumour; biological; microscopy; mri; ct scan,,0.3
domain_tag,,7,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,,,cultural heritage; heritage; archaeology; archaeological; museum,,0.3
domain_tag,,8,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,,,aerial; satellite; remote sensing; drone; uav,,0.3
domain_tag,,9,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,,,industrial; manufacturing; sports; agriculture; underwater; space; inspection,,0.3
domain_tag,,10,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,,,augmented reality; virtual reality; mixed reality; extended reality; spatial computing; telepresence; tele-immersion; immersive,,0.3
