record_id,publication_year,paper_title,primary_topic,secondary_topics,review_confidence,review_note,reviewer,reviewed_at
conf:3dim:RaposoBN13,2013,Fast and Accurate Calibration of a Kinect Sensor.,sensing_acquisition_calibration,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KukelovaPB13,2013,Fast and Stable Algebraic Solution to L2 Three-View Triangulation.,multiview_geometry_sfm_photogrammetry,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KurilloBLB13,2013,Geometric and Color Calibration of Multiview Panoramic Cameras for Life-Size 3D Immersive Video.,sensing_acquisition_calibration,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ZhangPCY13,2013,High-Quality Stereo Video Matching via User Interaction and Space-Time Propagation.,depth_stereo_shape_from_x,ar_vr_hci_applied_systems,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:AbbottM13,2013,Interactive Depth-Aware Effects for Stereo Image Editing.,rendering_novel_views_appearance,depth_stereo_shape_from_x; ar_vr_hci_applied_systems,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:TejeraH13,2013,Learning Part-Based Models for Animation from Surface Motion Capture.,humans_faces_hands_avatars,motion_tracking_dynamic_4d; geometry_shape_processing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:PaulusMBHES13,2013,Measurement of Individual Changes in the Performance of Human Stereoscopic Vision for Disparities at the Limits of the Zone of Comfortable Viewing.,ar_vr_hci_applied_systems,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MicusikW13,2013,Minimal Solution for Uncalibrated Absolute Pose Problem with a Known Vanishing Point.,multiview_geometry_sfm_photogrammetry,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HodlmoserMPLK13,2013,Model-Based Vehicle Pose Estimation and Tracking in Videos Using Random Forests.,motion_tracking_dynamic_4d,recognition_detection_retrieval,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LallemandPSTI13,2013,Multi-task Forest for Human Pose Estimation in Depth Images.,humans_faces_hands_avatars,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:YamazakiKM13,2013,Non-rigid Shape Registration Using Similarity-Invariant Differential Coordinates.,registration_correspondence_matching,motion_tracking_dynamic_4d; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:AwanMKMG13,2013,Object Class Recognition in Mobile Urban Lidar Data Using Global Shape Descriptors.,recognition_detection_retrieval,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CoutureLR13,2013,Omnistereo Video Textures without Ghosting.,rendering_novel_views_appearance,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:DenkerHRUH13,2013,On-Line Reconstruction of CAD Geometry.,reconstruction_fusion_modeling,sensing_acquisition_calibration; segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:GaoY13,2013,Online Building Segmentation from Ground-Based LiDAR Data in Urban Scenes.,segmentation_scene_understanding,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KawasakiHMOKT13,2013,Optimized Aperture for Estimating Depth from Projector's Defocus.,depth_stereo_shape_from_x,sensing_acquisition_calibration,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HenryFBM13,2013,Patch Volumes: Segmentation-Based Consistent Mapping with RGB-D Cameras.,slam_localization_mapping,representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HeltenBBMST13,2013,Personalization and Evaluation of a Real-Time Depth-Based Full Body Tracker.,humans_faces_hands_avatars,motion_tracking_dynamic_4d; datasets_benchmarks_evaluation,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KellerLLIWK13,2013,Real-Time 3D Reconstruction in Dynamic Scenes Using Point-Based Fusion.,reconstruction_fusion_modeling,motion_tracking_dynamic_4d; slam_localization_mapping,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KasuyaSKF13,2013,Robust and Accurate One-Shot 3D Reconstruction by 2C1P System with Wave Grid Pattern.,reconstruction_fusion_modeling,sensing_acquisition_calibration; depth_stereo_shape_from_x,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HuangBI13,2013,Robust Human Body Shape and Pose Tracking.,humans_faces_hands_avatars,motion_tracking_dynamic_4d; registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:NeophytouH13,2013,Shape and Pose Space Deformation for Subject Specific Animation.,humans_faces_hands_avatars,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:EvrenciIFM13,2013,Shape and Reflectance from Scattering in Participating Media.,sensing_acquisition_calibration,rendering_novel_views_appearance; depth_stereo_shape_from_x,medium,The novel measurement setup is central; reflectance and shape-from-scattering are coupled outputs.,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SibbingSLK13,2013,SIFT-Realistic Rendering.,slam_localization_mapping,rendering_novel_views_appearance,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KushalS13,2013,Single View Reconstruction of Piecewise Swept Surfaces.,reconstruction_fusion_modeling,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SharmaCL13,2013,Space-Time Parameterized Variety Manifolds: A Novel Approach for Arbitrary Multi-perspective 3D View Generation.,rendering_novel_views_appearance,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HodlmoserMK13,2013,Sparse Point Cloud Densification by Combining Multiple Segmentation Methods.,reconstruction_fusion_modeling,segmentation_scene_understanding; depth_stereo_shape_from_x,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BolkartW13,2013,Statistical Analysis of 3D Faces in Motion.,humans_faces_hands_avatars,motion_tracking_dynamic_4d; generation_completion_editing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SomanathCPK13,2013,Stereo+Kinect for High Resolution Stereo Correspondences.,depth_stereo_shape_from_x,sensing_acquisition_calibration,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HoffkenWWKD13,2013,Synchronized Submanifold Embedding for Robust and Real-Time Capable Head Pose Detection Based on Range Images.,humans_faces_hands_avatars,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ShanACFS13,2013,The Visual Turing Test for Scene Reconstruction.,reconstruction_fusion_modeling,rendering_novel_views_appearance; multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:Wu13,2013,Towards Linear-Time Incremental Structure from Motion.,multiview_geometry_sfm_photogrammetry,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:PangN13,2013,Training-Based Object Recognition in Cluttered 3D Point Clouds.,recognition_detection_retrieval,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:TurnerZ13,2013,Watertight Planar Surface Meshing of Indoor Point-Clouds with Voxel Carving.,reconstruction_fusion_modeling,geometry_shape_processing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:TaddeiS13,2013,X-Ray and 3D Data Fusion for 3D Reconstruction of Closed Receptacle Contents.,reconstruction_fusion_modeling,sensing_acquisition_calibration; multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LiangKS14,2014,3D Face Hallucination from a Single Depth Frame.,humans_faces_hands_avatars,reconstruction_fusion_modeling; generation_completion_editing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:PanSLLW14,2014,3D Liver Vessel Reconstruction from CT Images.,reconstruction_fusion_modeling,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WuLWHJS14,2014,3D Model Retargeting Using Offset Statistics.,generation_completion_editing,geometry_shape_processing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RenPKRM14,2014,3D Tracking of Multiple Objects with Identical Appearance Using RGB-D Input.,motion_tracking_dynamic_4d,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SagawaKOKMF14,2014,4D Capture Using Visibility Information of Multiple Projector Camera System.,motion_tracking_dynamic_4d,sensing_acquisition_calibration; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CirujedaB14,2014,4DCov: A Nested Covariance Descriptor of Spatio-Temporal Features for Gesture Recognition in Depth Sequences.,humans_faces_hands_avatars,motion_tracking_dynamic_4d; recognition_detection_retrieval,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WangLHWC14,2014,A 3D Segmentation and Visualization Scheme for Solid and Non-solid Lung Lesions Based on Gaussian Filtering Regularized Level Set.,segmentation_scene_understanding,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MukasaNTM14,2014,A 3D Shape Descriptor for Segmentation of Unstructured Meshes into Segment-Wise Coherent Mesh Series.,motion_tracking_dynamic_4d,representations_features; geometry_shape_processing,medium,The segmentation partitions a 3D-video sequence for temporal correspondence rather than semantic scene labeling.,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WeiLF14,2014,A Data-Driven Regularization Model for Stereo and Flow.,depth_stereo_shape_from_x,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BotterillGM14,2014,A Decision-Theoretic Formulation for Sparse Stereo Correspondence Problems.,depth_stereo_shape_from_x,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BolkartB0W14,2014,A General Framework to Generate Sizing Systems from 3D Motion Data Applied to Face Mask Design.,humans_faces_hands_avatars,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:NeophytouH14,2014,A Layered Model of Human Body and Garment Deformation.,humans_faces_hands_avatars,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:DrouinBCMGF14,2014,A Methodology for Creating Large Scale Reference Models with Known Uncertainty for Evaluating Imaging Solution.,datasets_benchmarks_evaluation,sensing_acquisition_calibration; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:NobuharaNM14,2014,A Real-Time View-Dependent Shape Optimization for High Quality Free-Viewpoint Rendering of 3D Video.,rendering_novel_views_appearance,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:PedersoliT14,2014,A Scalable 3D HOG Model for Fast Object Detection and Viewpoint Estimation.,recognition_detection_retrieval,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WaibelMGK14,2014,A Structure from Motion Approach for the Analysis of Adhesions in Rotating Vessels.,multiview_geometry_sfm_photogrammetry,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HansenPSAK14,2014,A Structured Light Scanner for Hyper Flexible Industrial Automation.,sensing_acquisition_calibration,robotics_embodied_interaction,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KuhnMHS14,2014,A TV Prior for High-Quality Local Multi-view Stereo Reconstruction.,depth_stereo_shape_from_x,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ShanWCFHS14,2014,Accurate Geo-Registration by Ground-to-Aerial Image Matching.,registration_correspondence_matching,slam_localization_mapping,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MauroRSLG14,2014,An Integer Linear Programming Model for View Selection on Overlapping Camera Clusters.,reconstruction_fusion_modeling,depth_stereo_shape_from_x; multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:FerstlRRRB14,2014,aTGV-SF: Dense Variational Scene Flow through Projective Warping and Higher Order Regularization.,motion_tracking_dynamic_4d,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WangC14,2014,Automated gbXML-Based Building Model Creation for Thermal Building Simulation.,reconstruction_fusion_modeling,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:YanCMSM14,2014,Automatic Extraction of Moving Objects from Image and LIDAR Sequences.,motion_tracking_dynamic_4d,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:StamblerH14,2014,Building Modeling through Enclosure Reasoning.,reconstruction_fusion_modeling,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RuanH14,2014,Calibration of 3D Sensors Using a Spherical Target.,sensing_acquisition_calibration,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CansizogluTRM14,2014,Calibration of Non-overlapping Cameras Using an External SLAM System.,sensing_acquisition_calibration,slam_localization_mapping; multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BalzerFSHHB14,2014,Cavlectometry: Towards Holistic Reconstruction of Large Mirror Objects.,reconstruction_fusion_modeling,sensing_acquisition_calibration; depth_stereo_shape_from_x,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ZelenerMS14,2014,Classification of Vehicle Parts in Unstructured 3D Point Clouds.,recognition_detection_retrieval,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WetzlerKBM14,2014,Close-Range Photometric Stereo with Point Light Sources.,depth_stereo_shape_from_x,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RoubtsovaG14,2014,Colour Helmholtz Stereopsis for Reconstruction of Complex Dynamic Scenes.,depth_stereo_shape_from_x,sensing_acquisition_calibration; motion_tracking_dynamic_4d,medium,Helmholtz stereopsis is a shape-from-X task; wavelength-multiplexed acquisition enables dynamic capture.,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RashidH14,2014,Detailed 3D Model Driven Single View Scene Understanding.,segmentation_scene_understanding,recognition_detection_retrieval; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:TaddeiSRCS14,2014,Detecting Ambiguity in Localization Problems Using Depth Sensors.,slam_localization_mapping,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MorwaldBV14,2014,Direct Optimization of T-Splines Based on Multiview Stereo.,reconstruction_fusion_modeling,depth_stereo_shape_from_x; representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:GalindoZ14,2014,Distortion Driven Variational Multi-view Reconstruction.,reconstruction_fusion_modeling,depth_stereo_shape_from_x,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CKKPH14,2014,DT-SLAM: Deferred Triangulation for Robust SLAM.,slam_localization_mapping,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ChoYMB14,2014,Efficient Colorization of Large-Scale Point Cloud Using Multi-pass Z-Ordering.,rendering_novel_views_appearance,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RobertiniAHT14,2014,Efficient Multi-view Performance Capture of Fine-Scale Surface Detail.,motion_tracking_dynamic_4d,humans_faces_hands_avatars; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:UhMB14,2014,Efficient Multiview Stereo by Random-Search and Propagation.,depth_stereo_shape_from_x,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:NagayoshiP14,2014,Estimating Camera Pose Using Trajectories Generated by Pan-Tilt Motion.,sensing_acquisition_calibration,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MatsumuraMY14,2014,Estimating Depth of Layered Structure Based on Multispectral Speckle Correlation.,depth_stereo_shape_from_x,sensing_acquisition_calibration,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SuKLW14,2014,Fast 3D Object Alignment from Depth Image with 3D Fourier Moment Matching on GPU.,recognition_detection_retrieval,registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:AdanV14,2014,Furnished Interiors Modeling with Laser Scanners and RFID.,reconstruction_fusion_modeling,segmentation_scene_understanding; recognition_detection_retrieval,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SawhneyLC14,2014,GASP: Geometric Association with Surface Patches.,registration_correspondence_matching,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MohamadRG14,2014,Generalized 4-Points Congruent Sets for 3D Registration.,registration_correspondence_matching,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WangBHKH14,2014,Gradient-Based Differential Approach for 3-D Motion Compensation in Interventional 2-D/3-D Image Fusion.,motion_tracking_dynamic_4d,registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:FuruyaO14,2014,Hashing Cross-Modal Manifold for Scalable Sketch-Based 3D Model Retrieval.,recognition_detection_retrieval,representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ZhaoYD14,2014,Height Gradient Histogram (HIGH) for 3D Scene Labeling.,segmentation_scene_understanding,representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MartinovicG14,2014,Hierarchical Co-Segmentation of Building Facades.,segmentation_scene_understanding,recognition_detection_retrieval; generation_completion_editing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ChenZXJB14,2014,High-Quality Depth Recovery via Interactive Multi-view Stereo.,depth_stereo_shape_from_x,ar_vr_hci_applied_systems,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:DrouinBG14,2014,High Resolution Projector for 3D Imaging.,sensing_acquisition_calibration,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LiZLLF14,2014,Improved Techniques for Multi-view Registration with Motion Averaging.,registration_correspondence_matching,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HoferMB14,2014,Improving Sparse 3D Models for Man-Made Environments Using Line-Based 3D Reconstruction.,reconstruction_fusion_modeling,multiview_geometry_sfm_photogrammetry; registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KimH14,2014,Influence of Colour and Feature Geometry on Multi-modal 3D Point Clouds Data Registration.,datasets_benchmarks_evaluation,registration_correspondence_matching; representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:PintoreAG14,2014,Interactive Mapping of Indoor Building Structures through Mobile Devices.,slam_localization_mapping,reconstruction_fusion_modeling; ar_vr_hci_applied_systems,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ShternK14,2014,Iterative Closest Spectral Kernel Maps.,registration_correspondence_matching,representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:AfzalIADMO14,2014,Kinect Deform: Enhanced 3D Reconstruction of Non-rigidly Deforming Objects.,motion_tracking_dynamic_4d,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MakadiaY14,2014,Learning 3D Part Detection from Sparsely Labeled Data.,recognition_detection_retrieval,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KanezakiRCH14,2014,Learning Similarities for Rigid and Non-rigid Object Detection.,recognition_detection_retrieval,registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:TakahashiF14,2014,Least MSE Regression for View Synthesis.,rendering_novel_views_appearance,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SanchezMAF14,2014,LETHA: Learning from High Quality Inputs for 3D Pose Estimation in Low Quality Images.,recognition_detection_retrieval,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LalondeM14,2014,Lighting Estimation in Outdoor Image Collections.,rendering_novel_views_appearance,datasets_benchmarks_evaluation,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BhatH14,2014,Line Matching and Pose Estimation for Unconstrained Model-to-Image Alignment.,registration_correspondence_matching,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SrajerSPP14,2014,Match Box: Indoor Image Matching via Box-Like Scene Estimation.,registration_correspondence_matching,segmentation_scene_understanding; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KobyshevRG14,2014,Matching Features Correctly through Semantic Understanding.,registration_correspondence_matching,segmentation_scene_understanding,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:AlmeidaC14,2014,Matching Many Identical Features of Planar Urban Facades Using Global Regularity.,registration_correspondence_matching,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CirujedaMDB14,2014,MCOV: A Covariance Descriptor for Fusion of Texture and Shape Features in 3D Point Clouds.,representations_features,registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KimMZPSG14,2014,Memory Efficient Stereoscopy from Light Fields.,rendering_novel_views_appearance,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BerkitenFR14,2014,Merge2-3D: Combining Multiple Normal Maps with 3D Surfaces.,reconstruction_fusion_modeling,registration_correspondence_matching; depth_stereo_shape_from_x,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:AckermannLFKG14,2014,Multi-view Photometric Stereo by Example.,depth_stereo_shape_from_x,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RodriguezTS14,2014,Multimodal Calibration of Portable X-Ray Capture Systems for 3D Reconstruction.,sensing_acquisition_calibration,reconstruction_fusion_modeling; multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BrandaoVC14,2014,Multiple Hypothesis for Object Class Disambiguation from Multiple Observations.,recognition_detection_retrieval,robotics_embodied_interaction,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ShahDN14,2014,Multistage SFM: Revisiting Incremental Structure from Motion.,multiview_geometry_sfm_photogrammetry,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RouhaniBS14a,2014,Non-rigid Registration Meets Surface Reconstruction.,registration_correspondence_matching,representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:FujiwaraKSOI14,2014,Non-rigid Registration with Reliable Distance Field for Dynamic Shape Completion.,registration_correspondence_matching,motion_tracking_dynamic_4d; generation_completion_editing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HauensteinN14,2014,On Reliable Estimation of Curvatures of Implicit Surfaces.,geometry_shape_processing,datasets_benchmarks_evaluation,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ShiIMTYI14,2014,Photometric Stereo Using Internet Images.,depth_stereo_shape_from_x,reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:GolbertAS14,2014,Piecewise Planar and Non-Planar Segmentation of Large Complex 3D Urban Models.,geometry_shape_processing,segmentation_scene_understanding; reconstruction_fusion_modeling,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:BarreraP14,2014,Piecewise Planar Decomposition of 3D Point Clouds Obtained from Multiple Static RGB-D Cameras.,segmentation_scene_understanding,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LynenBFS14,2014,Placeless Place-Recognition.,slam_localization_mapping,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CrabbM14,2014,Probabilistic Phase Unwrapping for Single-Frequency Time-of-Flight Range Cameras.,sensing_acquisition_calibration,,high,,GPT-5.6 Pro expert review,2026-08-27
