record_id,publication_year,paper_title,supplemental_match_method,supplemental_match_confidence,supplemental_title
conf:3dim:CaiPMM20,2020,Matching-space Stereo Networks for Cross-domain Generalization.,doi_exact,1.0,Matching-space Stereo Networks for Cross-domain Generalization
conf:3dim:CassidyMQLD20,2020,Refractive Multi-view Stereo.,doi_exact,1.0,Refractive Multi-view Stereo
conf:3dim:ChandranBGB20,2020,Semantic Deep Face Models.,doi_exact,1.0,Semantic Deep Face Models
conf:3dim:ChatonCHL20,2020,Torch-Points3D: A Modular Multi-Task Framework for Reproducible Deep Learning on 3D Point Clouds.,doi_exact,1.0,Torch-Points3D: A Modular Multi-Task Framework for Reproducible Deep Learning on 3D Point Clouds
conf:3dim:ChenAN20,2020,Screen-space Regularization on Differentiable Rasterization.,doi_exact,1.0,Screen-space Regularization on Differentiable Rasterization
conf:3dim:ChenLWWY20,2020,Restoration of Motion Blur in Time-of-Flight Depth Image Using Data Alignment.,doi_exact,1.0,Restoration of Motion Blur in Time-of-Flight Depth Image Using Data Alignment
conf:3dim:ChenWHH20,2020,PanoNet3D: Combining Semantic and Geometric Understanding for LiDAR Point Cloud Detection.,doi_exact,1.0,PanoNet3D: Combining Semantic and Geometric Understanding for LiDAR Point Cloud Detection
conf:3dim:DarmonAM20,2020,Learning to Guide Local Feature Matches.,doi_exact,1.0,Learning to Guide Local Feature Matches
conf:3dim:DemmelGL0C20,2020,Distributed Photometric Bundle Adjustment.,doi_exact,1.0,Distributed Photometric Bundle Adjustment
conf:3dim:DengBSF20,2020,Better Patch Stitching for Parametric Surface Reconstruction.,doi_exact,1.0,Better Patch Stitching for Parametric Surface Reconstruction
conf:3dim:DengZ20,2020,Temporal LiDAR Frame Prediction for Autonomous Driving.,doi_exact,1.0,Temporal LiDAR Frame Prediction for Autonomous Driving
conf:3dim:DEusanioSPBVC20,2020,A Transformer-Based Network for Dynamic Hand Gesture Recognition.,doi_exact,1.0,A Transformer-Based Network for Dynamic Hand Gesture Recognition
conf:3dim:DuerrPWB20,2020,LiDAR-based Recurrent 3D Semantic Segmentation with Temporal Memory Alignment.,doi_exact,1.0,LiDAR-based Recurrent 3D Semantic Segmentation with Temporal Memory Alignment
conf:3dim:DuZHCL20,2020,VIPNet: A Fast and Accurate Single-View Volumetric Reconstruction by Learning Sparse Implicit Point Guidance.,doi_exact,1.0,VIPNet: A Fast and Accurate Single-View Volumetric Reconstruction by Learning Sparse Implicit Point Guidance
conf:3dim:FangZSJYZ20,2020,RotPredictor: Unsupervised Canonical Viewpoint Learning for Point Cloud Classification.,doi_exact,1.0,RotPredictor: Unsupervised Canonical Viewpoint Learning for Point Cloud Classification
conf:3dim:FanKK20,2020,Differential Photometric Consistency.,doi_exact,1.0,Differential Photometric Consistency
conf:3dim:FengYLV20,2020,Deep Depth Estimation on 360° Images with a Double Quaternion Loss.,doi_exact,1.0,Deep Depth Estimation on 360° Images with a Double Quaternion Loss
conf:3dim:FragosoS20,2020,Generalized Pose-and-Scale Estimation using 4-Point Congruence Constraints.,doi_exact,1.0,Generalized Pose-and-Scale Estimation using 4-Point Congruence Constraints
conf:3dim:GhoshGURBB20,2020,GIF: Generative Interpretable Faces.,doi_exact,1.0,GIF: Generative Interpretable Faces
conf:3dim:GhoshVDSSJ20,2020,Depth Completion Using a View-constrained Deep Prior.,doi_exact,1.0,Depth Completion Using a View-constrained Deep Prior
conf:3dim:GoelCGTTR20,2020,Shape from Tracing: Towards Reconstructing 3D Object Geometry and SVBRDF Material from Images via Differentiable Path Tracing.,doi_exact,1.0,Shape from Tracing: Towards Reconstructing 3D Object Geometry and SVBRDF Material from Images via Differentiable Path Tracing
conf:3dim:GolkovSMDGMMC20,2020,3D Deep Learning for Biological Function Prediction from Physical Fields.,doi_exact,1.0,3D Deep Learning for Biological Function Prediction from Physical Fields
conf:3dim:GolyanikJST20,2020,Intrinsic Dynamic Shape Prior for Dense Non-Rigid Structure from Motion.,doi_exact,1.0,Intrinsic Dynamic Shape Prior for Dense Non-Rigid Structure from Motion
conf:3dim:GolyanikST20,2020,Fast Simultaneous Gravitational Alignment of Multiple Point Sets.,doi_exact,1.0,Fast Simultaneous Gravitational Alignment of Multiple Point Sets
conf:3dim:GrahamN20,2020,RidgeSfM: Structure from Motion via Robust Pairwise Matching Under Depth Uncertainty.,doi_exact,1.0,RidgeSfM: Structure from Motion via Robust Pairwise Matching Under Depth Uncertainty
conf:3dim:GuptaJSSZ20,2020,Improved Modeling of 3D Shapes with Multi-view Depth Maps.,doi_exact,1.0,Improved Modeling of 3D Shapes with Multi-view Depth Maps
conf:3dim:HampiholiJMN20,2020,Depthwise Separable Temporal Convolutional Network for Action Segmentation.,doi_exact,1.0,Depthwise Separable Temporal Convolutional Network for Action Segmentation
conf:3dim:Hidalgo-CarrioG20,2020,Learning Monocular Dense Depth from Events.,doi_exact,1.0,Learning Monocular Dense Depth from Events
conf:3dim:HolynskiGFSS20,2020,Reducing Drift in Structure From Motion Using Extended Features.,doi_exact,1.0,Reducing Drift in Structure From Motion Using Extended Features
conf:3dim:HolzschuhLC20,2020,Simulated Annealing for 3D Shape Correspondence.,doi_exact,1.0,Simulated Annealing for 3D Shape Correspondence
conf:3dim:HugC20,2020,HyperSLAM: A Generic and Modular Approach to Sensor Fusion and Simultaneous Localization And Mapping in Continuous-Time.,doi_exact,1.0,HyperSLAM: A Generic and Modular Approach to Sensor Fusion and Simultaneous Localization And Mapping in Continuous-Time
conf:3dim:HurtubiseR20,2020,Fast Discontinuity-Aware Subpixel Correspondence in Structured Light.,doi_exact,1.0,Fast Discontinuity-Aware Subpixel Correspondence in Structured Light
conf:3dim:IshiharaAZS20,2020,Underwater Scene Recovery Using Wavelength-Dependent Refraction of Light.,doi_exact,1.0,Underwater Scene Recovery Using Wavelength-Dependent Refraction of Light
conf:3dim:JiangCLGH20,2020,Joint Unsupervised Learning of Optical Flow and Egomotion with Bi-Level optimization.,doi_exact,1.0,Joint Unsupervised Learning of Optical Flow and Egomotion with Bi-Level optimization
conf:3dim:JinkaCSN20,2020,PeeledHuman: Robust Shape Representation for Textured 3D Human Body Reconstruction.,doi_exact,1.0,PeeledHuman: Robust Shape Representation for Textured 3D Human Body Reconstruction
conf:3dim:KarunratanakulY20,2020,Grasping Field: Learning Implicit Representations for Human Grasps.,doi_exact,1.0,Grasping Field: Learning Implicit Representations for Human Grasps
conf:3dim:KatariaDH20,2020,Improving Structure from Motion with Reliable Resectioning.,doi_exact,1.0,Improving Structure from Motion with Reliable Resectioning
conf:3dim:KaufmannA0PZH20,2020,Convolutional Autoencoders for Human Motion Infilling.,doi_exact,1.0,Convolutional Autoencoders for Human Motion Infilling
conf:3dim:KawanoKK20,2020,Learning Wasserstein Isometric Embedding for Point Clouds.,doi_exact,1.0,Learning Wasserstein Isometric Embedding for Point Clouds
conf:3dim:KayaT20,2020,Self-Supervised 2D Image to 3D Shape Translation with Disentangled Representations.,doi_exact,1.0,Self-Supervised 2D Image to 3D Shape Translation with Disentangled Representations
conf:3dim:KlugEBL20,2020,Error Bounds of Projection Models in Weakly Supervised 3D Human Pose Estimation.,doi_exact,1.0,Error Bounds of Projection Models in Weakly Supervised 3D Human Pose Estimation
conf:3dim:KohliSW20,2020,Semantic Implicit Neural Scene Representations With Semi-Supervised Training.,doi_exact,1.0,Semantic Implicit Neural Scene Representations With Semi-Supervised Training
conf:3dim:KolosSL20,2020,TRANSPR: Transparency Ray-Accumulating Neural 3D Scene Point Renderer.,doi_exact,1.0,TRANSPR: Transparency Ray-Accumulating Neural 3D Scene Point Renderer
conf:3dim:KuhnSREF20,2020,DeepC-MVS: Deep Confidence Prediction for Multi-View Stereo Reconstruction.,doi_exact,1.0,DeepC-MVS: Deep Confidence Prediction for Multi-View Stereo Reconstruction
conf:3dim:LawinF20,2020,Registration Loss Learning for Deep Probabilistic Point Set Registration.,doi_exact,1.0,Registration Loss Learning for Deep Probabilistic Point Set Registration
conf:3dim:LiuCBWSW20,2020,Dense Point Diffusion for 3D Object Detection.,doi_exact,1.0,Dense Point Diffusion for 3D Object Detection
conf:3dim:LiuMM20,2020,RocNet: Recursive Octree Network for Efficient 3D Deep Representation.,doi_exact,1.0,RocNet: Recursive Octree Network for Efficient 3D Deep Representation
conf:3dim:LivneAGBK20,2020,Do We Need Depth in State-Of-The-Art Face Authentication?,doi_exact,1.0,Do We Need Depth in State-Of-The-Art Face Authentication?
conf:3dim:LiY0ZB20,2020,Saliency Guided Subdivision for Single-View Mesh Reconstruction.,doi_exact,1.0,Saliency Guided Subdivision for Single-View Mesh Reconstruction
conf:3dim:LombardiOP20,2020,Scalable Point Cloud-based Reconstruction with Local Implicit Functions.,doi_exact,1.0,Scalable Point Cloud-based Reconstruction with Local Implicit Functions
conf:3dim:LuoGYXS20,2020,Towards 3D VR-Sketch to 3D Shape Retrieval.,doi_exact,1.0,Towards 3D VR-Sketch to 3D Shape Retrieval
conf:3dim:LuoKLMS20,2020,KeystoneDepth: History in 3D.,doi_exact,1.0,KeystoneDepth: History in 3D
conf:3dim:MarinRCROM20,2020,Instant recovery of shape from spectrum via latent space connections.,doi_exact,1.0,Instant recovery of shape from spectrum via latent space connections
conf:3dim:Mera-TrujilloSF20,2020,Efficient Scene Compression for Visual-based Localization.,doi_exact,1.0,Efficient Scene Compression for Visual-based Localization
conf:3dim:MertanSDU20,2020,A New Distributional Ranking Loss With Uncertainty: Illustrated in Relative Depth Estimation.,doi_exact,1.0,A New Distributional Ranking Loss With Uncertainty: Illustrated in Relative Depth Estimation
conf:3dim:NousiasLKOB20,2020,A Linear Approach to Absolute Pose Estimation for Light Fields.,doi_exact,1.0,A Linear Approach to Absolute Pose Estimation for Light Fields
conf:3dim:OechsleNRMS020,2020,Learning Implicit Surface Light Fields.,doi_exact,1.0,Learning Implicit Surface Light Fields
conf:3dim:PanLP20,2020,Compression and Completion of Animated Point Clouds using Topological Properties of the Manifold.,doi_exact,1.0,Compression and Completion of Animated Point Clouds using Topological Properties of the Manifold
conf:3dim:PetitGG20,2020,Time Shifted IMU Preintegration for Temporal Calibration in Incremental Visual-Inertial Initialization.,doi_exact,1.0,Time Shifted IMU Preintegration for Temporal Calibration in Incremental Visual-Inertial Initialization
conf:3dim:PionHCCS20,2020,Benchmarking Image Retrieval for Visual Localization.,doi_exact,1.0,Benchmarking Image Retrieval for Visual Localization
conf:3dim:PittalugaTFTCK20,2020,Towards a MEMS-based Adaptive LIDAR.,doi_exact,1.0,Towards a MEMS-based Adaptive LIDAR
conf:3dim:PontesHL20,2020,Scene Flow from Point Clouds with or without Learning.,doi_exact,1.0,Scene Flow from Point Clouds with or without Learning
conf:3dim:PoursaeedJQXK20,2020,Self-Supervised Learning of Point Clouds via Orientation Estimation.,doi_exact,1.0,Self-Supervised Learning of Point Clouds via Orientation Estimation
conf:3dim:PribanicPBBG20,2020,Smart Time-Multiplexing of Quads Solves the Multicamera Interference Problem.,doi_exact,1.0,Smart Time-Multiplexing of Quads Solves the Multicamera Interference Problem
conf:3dim:QiuZKSY20,2020,Towards Geometry Guided Neural Relighting with Flash Photography.,doi_exact,1.0,Towards Geometry Guided Neural Relighting with Flash Photography
conf:3dim:RichardCOPS20,2020,KAPLAN: A 3D Point Descriptor for Shape Completion.,doi_exact,1.0,KAPLAN: A 3D Point Descriptor for Shape Completion
conf:3dim:RoldaoCV20,2020,LMSCNet: Lightweight Multiscale 3D Semantic Completion.,doi_exact,1.0,LMSCNet: Lightweight Multiscale 3D Semantic Completion
conf:3dim:SalehDBNT20,2020,Graphite: Graph-Induced Feature Extraction for Point Cloud Registration.,doi_exact,1.0,Graphite: Graph-Induced Feature Extraction for Point Cloud Registration
conf:3dim:SaltoriLS0G20,2020,SF-UDA3D: Source-Free Unsupervised Domain Adaptation for LiDAR-Based 3D Object Detection.,doi_exact,1.0,SF-UDA 3D : Source-Free Unsupervised Domain Adaptation for LiDAR-Based 3D Object Detection
conf:3dim:SarasuaPW20,2020,Recalibration of Neural Networks for Point Cloud Analysis.,doi_exact,1.0,Recalibration of Neural Networks for Point Cloud Analysis
conf:3dim:SarodeDSZLC20,2020,MaskNet: A Fully-Convolutional Network to Estimate Inlier Points.,doi_exact,1.0,MaskNet: A Fully-Convolutional Network to Estimate Inlier Points
conf:3dim:ShabanovKCPKPYS20,2020,Self-supervised Depth Denoising Using Lower- and Higher-quality RGB-D sensors.,doi_exact,1.0,Self-supervised Depth Denoising Using Lower- and Higher-quality RGB-D sensors
conf:3dim:SharmaCHT20,2020,Nighttime Stereo Depth Estimation using Joint Translation-Stereo Learning: Light Effects and Uninformative Regions.,doi_exact,1.0,Nighttime Stereo Depth Estimation using Joint Translation-Stereo Learning: Light Effects and Uninformative Regions
conf:3dim:SockGAK20,2020,Introducing Pose Consistency and Warp-Alignment for Self-Supervised 6D Object Pose Estimation in Color Images.,doi_exact,1.0,Introducing Pose Consistency and Warp-Alignment for Self-Supervised 6D Object Pose Estimation in Color Images
conf:3dim:SormannK0RPF20,2020,BP-MVSNet: Belief-Propagation-Layers for Multi-View-Stereo.,doi_exact,1.0,BP-MVSNet: Belief-Propagation-Layers for Multi-View-Stereo
conf:3dim:SpezialettiTTTT20,2020,A Divide et Impera Approach for 3D Shape Reconstruction from Multiple Views.,doi_exact,1.0,A Divide et Impera Approach for 3D Shape Reconstruction from Multiple Views
conf:3dim:StenborgSH20,2020,Using Image Sequences for Long-Term Visual Localization.,doi_exact,1.0,Using Image Sequences for Long-Term Visual Localization
conf:3dim:StevsicH20,2020,Spatial Attention Improves Iterative 6D Object Pose Estimation.,doi_exact,1.0,Spatial Attention Improves Iterative 6D Object Pose Estimation
conf:3dim:StumbergW0C20,2020,LM-Reloc: Levenberg-Marquardt Based Direct Visual Relocalization.,doi_exact,1.0,LM-Reloc: Levenberg-Marquardt Based Direct Visual Relocalization
conf:3dim:SucarWD20,2020,NodeSLAM: Neural Object Descriptors for Multi-View Shape Reconstruction.,doi_exact,1.0,NodeSLAM: Neural Object Descriptors for Multi-View Shape Reconstruction
conf:3dim:SunegardSS20,2020,Deep LiDAR localization using optical flow sensor-map correspondences.,doi_exact,1.0,Deep LiDAR localization using optical flow sensor-map correspondences
conf:3dim:SuzukiOS20,2020,Rethinking PointNet Embedding for Faster and Compact Model.,doi_exact,1.0,Rethinking PointNet Embedding for Faster and Compact Model
conf:3dim:SztrajmanNWS20,2020,High-Dynamic-Range Lighting Estimation From Face Portraits.,doi_exact,1.0,High-Dynamic-Range Lighting Estimation From Face Portraits
conf:3dim:TanPXLHLHX20,2020,Deep Learning Based Single-Photon 3D Imaging with Multiple Returns.,doi_exact,1.0,Deep Learning Based Single-Photon 3D Imaging with Multiple Returns
conf:3dim:TaubnerTNSF20,2020,LCD - Line Clustering and Description for Place Recognition.,doi_exact,1.0,LCD – Line Clustering and Description for Place Recognition
conf:3dim:Thomas20,2020,Rotation-Invariant Point Convolution With Multiple Equivariant Alignments.,doi_exact,1.0,Rotation-Invariant Point Convolution With Multiple Equivariant Alignments
conf:3dim:ThulTLP20,2020,Precomputed Radiance Transfer for Reflectance and Lighting Estimation.,doi_exact,1.0,Precomputed Radiance Transfer for Reflectance and Lighting Estimation
conf:3dim:TishchenkoLOP20,2020,Self-Supervised Learning of Non-Rigid Residual Flow and Ego-Motion.,doi_exact,1.0,Self-Supervised Learning of Non-Rigid Residual Flow and Ego-Motion
conf:3dim:TripathiRTA20,2020,PoseNet3D: Learning Temporally Consistent 3D Human Pose via Knowledge Distillation.,doi_exact,1.0,PoseNet3D: Learning Temporally Consistent 3D Human Pose via Knowledge Distillation
conf:3dim:UzpakDS20,2020,Style Transfer for Keypoint Matching Under Adverse Conditions.,doi_exact,1.0,Style Transfer for Keypoint Matching Under Adverse Conditions
conf:3dim:VasiljevicGAPBS20,2020,Neural Ray Surfaces for Self-Supervised Learning of Depth and Ego-motion.,doi_exact,1.0,Neural Ray Surfaces for Self-Supervised Learning of Depth and Ego-motion
conf:3dim:WangCPLL20,2020,Learning 3D Faces from Photo-Realistic Facial Synthesis.,doi_exact,1.0,Learning 3D Faces from Photo-Realistic Facial Synthesis
conf:3dim:WangLL20,2020,Deep NRSfM++: Towards Unsupervised 2D-3D Lifting in the Wild.,doi_exact,1.0,Deep NRSfM++: Towards Unsupervised 2D-3D Lifting in the Wild
conf:3dim:WangLSM20,2020,DynOcc: Learning Single-View Depth from Dynamic Occlusion Cues.,doi_exact,1.0,DynOcc: Learning Single-View Depth from Dynamic Occlusion Cues
conf:3dim:WeiLWXQDZL20,2020,Class-unbalanced domain adaptation for object detection via dynamic weighting mechanism.,doi_exact,1.0,Class-unbalanced domain adaptation for object detection via dynamic weighting mechanism
conf:3dim:WeiSSRF20,2020,Learning to Infer Semantic Parameters for 3D Shape Editing.,doi_exact,1.0,Learning to Infer Semantic Parameters for 3D Shape Editing
conf:3dim:WilsonW20,2020,Visualizing Spectral Bundle Adjustment Uncertainty.,doi_exact,1.0,Visualizing Spectral Bundle Adjustment Uncertainty
conf:3dim:WuTNT20,2020,SCFusion: Real-time Incremental Scene Reconstruction with Semantic Completion.,doi_exact,1.0,SCFusion: Real-time Incremental Scene Reconstruction with Semantic Completion
conf:3dim:XiangPWH20,2020,MonoClothCap: Towards Temporally Coherent Clothing Capture from Monocular RGB Video.,doi_exact,1.0,MonoClothCap: Towards Temporally Coherent Clothing Capture from Monocular RGB Video
conf:3dim:XieMWXZ20,2020,FC-vSLAM: Integrating Feature Credibility in Visual SLAM.,doi_exact,1.0,FC-vSLAM: Integrating Feature Credibility in Visual SLAM
conf:3dim:XuAVH20,2020,RANP: Resource Aware Neuron Pruning at Initialization for 3D CNNs.,doi_exact,1.0,RANP: Resource Aware Neuron Pruning at Initialization for 3D CNNs
conf:3dim:XuCRJHKCSCR20,2020,Motion Annotation Programs: A Scalable Approach to Annotating Kinematic Articulations in Large 3D Shape Collections.,doi_exact,1.0,Motion Annotation Programs: A Scalable Approach to Annotating Kinematic Articulations in Large 3D Shape Collections
conf:3dim:YinCCFKZ20,2020,COALESCE: Component Assembly by Learning to Synthesize Connections.,doi_exact,1.0,COALESCE: Component Assembly by Learning to Synthesize Connections
conf:3dim:YuLNL20,2020,Two-Stage Relation Constraint for Semantic Segmentation of Point Clouds.,doi_exact,1.0,Two-Stage Relation Constraint for Semantic Segmentation of Point Clouds
conf:3dim:ZhangHCTY20,2020,Global Context Aware Convolutions for 3D Point Cloud Understanding.,doi_exact,1.0,Global Context Aware Convolutions for 3D Point Cloud Understanding
conf:3dim:ZhangYLSL20,2020,Learning Distribution Independent Latent Representation for 3D Face Disentanglement.,doi_exact,1.0,Learning Distribution Independent Latent Representation for 3D Face Disentanglement
conf:3dim:ZhangYVJ20,2020,Learning Rotation-Invariant Representations of Point Clouds Using Aligned Edge Convolutional Neural Networks.,doi_exact,1.0,Learning Rotation-Invariant Representations of Point Clouds Using Aligned Edge Convolutional Neural Networks
conf:3dim:ZhangZMBT20,2020,PLACE: Proximity Learning of Articulation and Contact in 3D Environments.,doi_exact,1.0,PLACE: Proximity Learning of Articulation and Contact in 3D Environments
conf:3dim:ZhongG0S20,2020,Deep Sketch-Based Modeling: Tips and Tricks.,doi_exact,1.0,Deep Sketch-Based Modeling: Tips and Tricks
conf:3dim:ZinsSB20,2020,3D-Aware Ellipse Prediction for Object-Based Camera Pose Estimation.,doi_exact,1.0,3D-Aware Ellipse Prediction for Object-Based Camera Pose Estimation
conf:3dim:ZodageCSSC20,2020,Correspondence Matrices are Underrated.,doi_exact,1.0,Correspondence Matrices are Underrated
conf:3dim:ZuanazziVBM20,2020,Adversarial Self-Supervised Scene Flow Estimation.,doi_exact,1.0,Adversarial Self-Supervised Scene Flow Estimation
conf:3dim:AbdellaliFVK21,2021,L2D2: Learnable Line Detector and Descriptor.,doi_exact,1.0,L2D2: Learnable Line Detector and Descriptor
conf:3dim:AbujbaraIH21,2021,Non-Linear Anisotropic Diffusion for Memory-Efficient Computed Tomography Super-Resolution Reconstruction.,doi_exact,1.0,Non-Linear Anisotropic Diffusion for Memory-Efficient Computed Tomography Super-Resolution Reconstruction
conf:3dim:AksanKCH21,2021,A Spatio-temporal Transformer for 3D Human Motion Prediction.,doi_exact,1.0,A Spatio-temporal Transformer for 3D Human Motion Prediction
conf:3dim:AleottiTRPSMS21,2021,Neural Disparity Refinement for Arbitrary Resolution Stereo.,doi_exact,1.0,Neural Disparity Refinement for Arbitrary Resolution Stereo
conf:3dim:AttaikiPO21,2021,DPFM: Deep Partial Functional Maps.,doi_exact,1.0,DPFM: Deep Partial Functional Maps
conf:3dim:BaradelGWBKR21,2021,Leveraging MoCap Data for Human Mesh Recovery.,doi_exact,1.0,Leveraging MoCap Data for Human Mesh Recovery
conf:3dim:BarathDKL21,2021,Image Stitching with Locally Shared Rotation Axis.,doi_exact,1.0,Image Stitching with Locally Shared Rotation Axis
conf:3dim:BassetBWMB21,2021,Neural Human Deformation Transfer.,doi_exact,1.0,Neural Human Deformation Transfer
conf:3dim:BauerLOCPO21,2021,NVS-MonoDepth: Improving Monocular Depth Prediction with Novel View Synthesis.,doi_exact,1.0,NVS-MonoDepth: Improving Monocular Depth Prediction with Novel View Synthesis
conf:3dim:BianZR21,2021,NVSS: High-quality Novel View Selfie Synthesis.,doi_exact,1.0,NVSS: High-quality Novel View Selfie Synthesis
conf:3dim:BigalkeH21,2021,Fusing Posture and Position Representations for Point Cloud-Based Hand Gesture Recognition.,doi_exact,1.0,Fusing Posture and Position Representations for Point Cloud-Based Hand Gesture Recognition
conf:3dim:BoulchLPM21,2021,NeeDrop: Self-supervised Shape Representation from Sparse Point Clouds using Needle Dropping.,doi_exact,1.0,NeeDrop: Self-supervised Shape Representation from Sparse Point Clouds using Needle Dropping
conf:3dim:Bregier21,2021,Deep Regression on Manifolds: A 3D Rotation Case Study.,doi_exact,1.0,Deep Regression on Manifolds: A 3D Rotation Case Study
conf:3dim:BrunelBSD21,2021,FLYBO: A Unified Benchmark Environment for Autonomous Flying Robots.,doi_exact,1.0,FLYBO: A Unified Benchmark Environment for Autonomous Flying Robots
conf:3dim:CaraffaMBV21,2021,Efficiently Distributed Watertight Surface Reconstruction.,doi_exact,1.0,Efficiently Distributed Watertight Surface Reconstruction
conf:3dim:CardaceSRSS21,2021,RefRec: Pseudo-labels Refinement via Shape Reconstruction for Unsupervised 3D Domain Adaptation.,doi_exact,1.0,RefRec: Pseudo-labels Refinement via Shape Reconstruction for Unsupervised 3D Domain Adaptation
conf:3dim:CenYCWL21,2021,Open-set 3D Object Detection.,doi_exact,1.0,Open-set 3D Object Detection
conf:3dim:ChatziagapiAMS21,2021,SIDER: Single-Image Neural Optimization for Facial Geometric Detail Recovery.,doi_exact,1.0,SIDER: Single-Image Neural Optimization for Facial Geometric Detail Recovery
conf:3dim:ChenWP21,2021,Direct-PoseNet: Absolute Pose Regression with Photometric Consistency.,doi_exact,1.0,Direct-PoseNet: Absolute Pose Regression with Photometric Consistency
conf:3dim:CuiXWH21,2021,Residual Geometric Feature Transform Network for 3D Surface Super-Resolution.,doi_exact,1.0,Residual Geometric Feature Transform Network for 3D Surface Super-Resolution
conf:3dim:DabhiWSJFL21,2021,High Fidelity 3D Reconstructions with Limited Physical Views.,doi_exact,1.0,High Fidelity 3D Reconstructions with Limited Physical Views
conf:3dim:DarmonBDMA21,2021,Deep Multi-View Stereo Gone Wild.,doi_exact,1.0,Deep Multi-View Stereo Gone Wild
conf:3dim:DengSZS21,2021,SVMAC: Unsupervised 3D Human Pose Estimation from a Single Image with Single-view-multi-angle Consistency.,doi_exact,1.0,SVMAC: Unsupervised 3D Human Pose Estimation from a Single Image with Single-view-multi-angle Consistency
conf:3dim:EhmCB21,2021,"Shortest Paths in Graphs with Matrix-Valued Edges: Concepts, Algorithm and Application to 3D Multi-Shape Analysis.",doi_exact,1.0,"Shortest Paths in Graphs with Matrix-Valued Edges: Concepts, Algorithm and Application to 3D Multi-Shape Analysis"
conf:3dim:FanSKTBH21,2021,Learning To Disambiguate Strongly Interacting Hands via Probabilistic Per-Pixel Part Segmentation.,doi_exact,1.0,Learning To Disambiguate Strongly Interacting Hands via Probabilistic Per-Pixel Part Segmentation
conf:3dim:FengCBTB21,2021,Collaborative Regression of Expressive Bodies using Moderation.,doi_exact,1.0,Collaborative Regression of Expressive Bodies using Moderation
conf:3dim:GasperiniKDNBT21,2021,R4Dyn: Exploring Radar for Self-Supervised Monocular Depth Estimation of Dynamic Scenes.,doi_exact,1.0,R4Dyn: Exploring Radar for Self-Supervised Monocular Depth Estimation of Dynamic Scenes
conf:3dim:GehrigMGS21,2021,E-RAFT: Dense Optical Flow from Event Cameras.,doi_exact,1.0,E-RAFT: Dense Optical Flow from Event Cameras
conf:3dim:GenovaYKPCSBSF21,2021,Learning 3D Semantic Segmentation with only 2D Image Supervision.,doi_exact,1.0,Learning 3D Semantic Segmentation with only 2D Image Supervision
conf:3dim:GeorgiouAKK21,2021,Projective Urban Texturing.,doi_exact,1.0,Projective Urban Texturing
conf:3dim:GiebenhainG21,2021,AIR-Nets: An Attention-Based Framework for Locally Conditioned Implicit Representations.,doi_exact,1.0,AIR-Nets: An Attention-Based Framework for Locally Conditioned Implicit Representations
conf:3dim:GinzburgR21,2021,Dual Geometric Graph Network (DG2N) Iterative Network for Deformable Shape Alignment.,doi_exact,1.0,Dual Geometric Graph Network (DG2N) Iterative Network for Deformable Shape Alignment
conf:3dim:GriffithsBR21,2021,Curiosity-driven 3D Object Detection Without Labels.,doi_exact,1.0,Curiosity-driven 3D Object Detection Without Labels
conf:3dim:GuoCSH21,2021,Human Performance Capture from Monocular Video in the Wild.,doi_exact,1.0,Human Performance Capture from Monocular Video in the Wild
